"State","Grade","Subject","Percentile","Score.2024","Score.2022","Score.2019","Score.Change","Group"
"National",4,"Reading","10th",158.333000183105,162.241999053955,168.299001312256,-9.96600112915098,"All students"
"Alabama",4,"Reading","10th",159.623999023438,160.875,157.476999664307,2.146999359131,"All students"
"Alaska",4,"Reading","10th",142.106999969483,141.658000183106,139.713498687744,2.39350128173902,"All students"
"Arizona",4,"Reading","10th",147.364999389649,161.284999847412,162.345999145508,-14.980999755859,"All students"
"Arkansas",4,"Reading","10th",148.831498718262,153.061000061035,158.9255027771,-10.094004058838,"All students"
"California",4,"Reading","10th",155.251501464844,157.01199798584,161.013500213623,-5.76199874877898,"All students"
"Colorado",4,"Reading","10th",167.086000823975,169.911000823975,173.704499053955,-6.61849822997999,"All students"
"Connecticut",4,"Reading","10th",159.687498474121,163.553499603272,170.68099975586,-10.993501281739,"All students"
"Delaware",4,"Reading","10th",151.411500549316,151.97200088501,164.608000946045,-13.196500396729,"All students"
"District of Columbia",4,"Reading","10th",145.015999603272,144.876000976562,159.16600112915,-14.150001525878,"All students"
"DoDEA",4,"Reading","10th",189.215999603272,188.983501434326,196.225999450684,-7.00999984741199,"All students"
"Florida",4,"Reading","10th",164.261498260498,175.825001525879,177.688998413086,-13.427500152588,"All students"
"Georgia",4,"Reading","10th",156.634999084473,159.992500305176,164.64700012207,-8.012001037597,"All students"
"Hawaii",4,"Reading","10th",160.35599899292,162.184000396728,163.176001739502,-2.82000274658199,"All students"
"Idaho",4,"Reading","10th",159.762998199463,157.733500671387,171.434499359131,-11.671501159668,"All students"
"Illinois",4,"Reading","10th",156.395500946045,162.204501342773,163.71849899292,-7.322998046875,"All students"
"Indiana",4,"Reading","10th",166.247999572754,162.266499328613,169.661497497559,-3.413497924805,"All students"
"Iowa",4,"Reading","10th",161.054499816895,164.950999450684,169.051998901367,-7.997499084472,"All students"
"Kansas",4,"Reading","10th",158.106498718262,159.953997802734,167.428499603271,-9.322000885009,"All students"
"Kentucky",4,"Reading","10th",163.474501037598,164.109000396729,170.539999389648,-7.06549835204999,"All students"
"Louisiana",4,"Reading","10th",160.181500244141,156.212500762939,155.793999481201,4.38750076293999,"All students"
"Maine",4,"Reading","10th",153.325501251221,155.190501403809,169.836499023438,-16.510997772217,"All students"
"Maryland",4,"Reading","10th",153.933499908447,151.862503051758,164.117499542236,-10.183999633789,"All students"
"Massachusetts",4,"Reading","10th",167.951000213623,170.72200088501,182.264000701904,-14.313000488281,"All students"
"Michigan",4,"Reading","10th",154.645998382568,154.695500183105,167.717500305176,-13.071501922608,"All students"
"Minnesota",4,"Reading","10th",158.608999633789,159.910499572754,168.769501495361,-10.160501861572,"All students"
"Mississippi",4,"Reading","10th",169.62799911499,166.980500793457,173.58150100708,-3.95350189209,"All students"
"Missouri",4,"Reading","10th",156.531999969482,155.361499786377,164.105500030518,-7.57350006103599,"All students"
"Montana",4,"Reading","10th",165.087497711182,166.069999694824,169.498000335693,-4.410502624511,"All students"
"Nebraska",4,"Reading","10th",154.914501190186,163.188999938965,171.263000488281,-16.348499298095,"All students"
"Nevada",4,"Reading","10th",155.661000823975,156.838497924805,166.417000579834,-10.755999755859,"All students"
"New Hampshire",4,"Reading","10th",169.138001251221,170.806999206543,174.383999633789,-5.24599838256799,"All students"
"New Jersey",4,"Reading","10th",160.920000457764,169.575501251221,177.39700012207,-16.476999664306,"All students"
"New Mexico",4,"Reading","10th",141.819999694824,144.58450088501,153.123998260498,-11.303998565674,"All students"
"New York",4,"Reading","10th",157.267500305176,157.342999267578,167.491500091553,-10.223999786377,"All students"
"North Carolina",4,"Reading","10th",154.626501464844,159.262998199463,170.522500610352,-15.895999145508,"All students"
"North Dakota",4,"Reading","10th",167.087001037598,167.80650100708,173.143499755859,-6.05649871826103,"All students"
"Ohio",4,"Reading","10th",158.9,161.945999908447,172.110500335693,-13.210500335693,"All students"
"Oklahoma",4,"Reading","10th",152.368000030518,153.42149887085,168.815501403809,-16.447501373291,"All students"
"Oregon",4,"Reading","10th",146.280500793457,151.993999481201,160.963000488281,-14.682499694824,"All students"
"Pennsylvania",4,"Reading","10th",156.528499603272,163.917999267578,167.752000427246,-11.223500823974,"All students"
"Rhode Island",4,"Reading","10th",158.596999359131,160.399000549316,166.785501098633,-8.18850173950202,"All students"
"South Carolina",4,"Reading","10th",156.35,160.656000518799,161.813000488281,-5.46300048828101,"All students"
"South Dakota",4,"Reading","10th",162.037499237061,165.588000488281,173.485499572754,-11.448000335693,"All students"
"Tennessee",4,"Reading","10th",155.54049987793,159.639498901367,164.823501586914,-9.28300170898402,"All students"
