"State","Grade","Subject","Percentile","Score.2024","Score.2022","Score.2019","Score.Change","percentiletest","percentilesignificant","gaptest","gapsignificant"
"Alabama",4,"Mathematics",10,192.397998809814,189.815999603272,189.148000335693,3.24999847412099,"x
Diff = 3
P-value = 0.3565",0,"x
Diff = -5
P-value = 0.3560",0
"Alabama",4,"Mathematics",25,215.628500366211,210.148500823975,210.455499267578,5.17300109863299,"x
Diff = 5
P-value = 0.0620",0,"x
Diff = -5
P-value = 0.3560",0
"Alabama",4,"Mathematics",50,238.537500762939,231.323001098633,231.775498962402,6.76200180053701,">
Diff = 7
P-value = 0.0009",1,"x
Diff = -5
P-value = 0.3560",0
"Alabama",4,"Mathematics",75,259.555000305176,250.859000396729,251.615001678467,7.93999862670901,">
Diff = 8
P-value = 0.0003",1,"x
Diff = -5
P-value = 0.3560",0
"Alabama",4,"Mathematics",90,276.696998596192,268.564498901367,268.077996826172,8.61900177001996,">
Diff = 9
P-value = 0.0003",1,"x
Diff = -5
P-value = 0.3560",0
"Alaska",4,"Mathematics",10,172.190000152588,175.718001556397,185.563997650146,-13.373997497558,"<
Diff = -13
P-value = 0.0000",1,"<
Diff = -14
P-value = 0.0405",1
"Alaska",4,"Mathematics",25,199.376998138428,201.80899887085,211.277500152588,-11.90050201416,"<
Diff = -12
P-value = 0.0001",1,"<
Diff = -14
P-value = 0.0405",1
"Alaska",4,"Mathematics",50,229.787500762939,228.725998687744,235.853000640869,-6.06549987792999,"<
Diff = -6
P-value = 0.0120",1,"<
Diff = -14
P-value = 0.0405",1
"Alaska",4,"Mathematics",75,253.943500518799,251.444998931885,255.88150177002,-1.93800125122101,"x
Diff = -2
P-value = 0.2524",0,"<
Diff = -14
P-value = 0.0405",1
"Alaska",4,"Mathematics",90,273.977001953125,270.391998291016,273.129501342774,0.847500610351005,"x
Diff = 1
P-value = 0.8412",0,"<
Diff = -14
P-value = 0.0405",1
